time,vehicle_count,semaforo_state
0.008722543716430664,20,rojo
0.11158204078674316,20,rojo
0.21434855461120605,20,rojo
0.3171844482421875,20,rojo
0.41974377632141113,20,rojo
0.522712230682373,20,rojo
0.6251418590545654,20,rojo
0.728665828704834,20,rojo
0.8317410945892334,20,rojo
0.9342973232269287,20,rojo
1.03782320022583,20,rojo
1.1412971019744873,20,rojo
1.2442615032196045,20,rojo
1.347252368927002,20,rojo
1.449592113494873,20,rojo
1.5530636310577393,20,rojo
1.6570048332214355,20,rojo
1.7599427700042725,20,rojo
1.8630316257476807,20,rojo
1.9654152393341064,20,rojo
2.067668914794922,20,rojo
2.1690125465393066,20,rojo
2.273411750793457,20,rojo
2.376016855239868,20,rojo
2.4783670902252197,20,rojo
2.5812301635742188,20,rojo
2.6833508014678955,20,rojo
2.7857868671417236,20,rojo
2.8877995014190674,20,rojo
2.9910590648651123,20,rojo
3.0936665534973145,20,rojo
3.1965491771698,20,rojo
3.299765110015869,20,rojo
3.4036598205566406,20,rojo
3.5062062740325928,20,rojo
3.6086878776550293,20,rojo
3.7129344940185547,20,rojo
3.814422845840454,20,rojo
3.916898012161255,20,rojo
4.018835783004761,20,rojo
4.12165379524231,20,rojo
4.2235894203186035,20,rojo
4.326142072677612,20,rojo
4.4291064739227295,20,verde
4.532253980636597,20,verde
4.6343324184417725,20,verde
4.7363505363464355,20,verde
4.839091777801514,20,verde
4.942992925643921,20,verde
